State,State FIPS Code,FFS Beneficiaries
National, ,28425321.00
AK (Alaska),02,73357.00
AL (Alabama),01,438524.00
AR (Arkansas),05,357768.00
AZ (Arizona),04,617275.00
CA (California),06,2453110.00
CO (Colorado),08,409243.00
CT (Connecticut),09,296551.00
DC (District of Columbia),11,48589.00
DE (Delaware),10,141356.00
FL (Florida),12,1955810.00
GA (Georgia),13,767663.00
HI (Hawaii),15,99549.00
IA (Iowa),19,403348.00
ID (Idaho),16,168909.00
IL (Illinois),17,1251383.00
IN (Indiana),18,663440.00
KS (Kansas),20,348640.00
KY (Kentucky),21,444104.00
LA (Louisiana),22,394273.00
MA (Massachusetts),25,711857.00
MD (Maryland),24,666350.00
ME (Maine),23,160331.00
MI (Michigan),26,890047.00
MN (Minnesota),27,258880.00
MO (Missouri),29,590574.00
MS (Mississippi),28,359670.00
MT (Montana),30,147920.00
NC (North Carolina),37,963210.00
ND (North Dakota),38,84842.00
NE (Nebraska),31,237605.00
NH (New Hampshire),33,190416.00
NJ (New Jersey),34,923102.00
NM (New Mexico),35,194672.00
NV (Nevada),32,237163.00
NY (New York),36,1478774.00
OH (Ohio),39,997088.00
OK (Oklahoma),40,441819.00
OR (Oregon),41,335058.00
PA (Pennsylvania),42,1149532.00
PR (Puerto Rico),72,46158.00
RI (Rhode Island),44,80109.00
SC (South Carolina),45,598675.00
SD (South Dakota),46,110044.00
TN (Tennessee),47,624149.00
TX (Texas),48,1859862.00
Territory (Unknown), ,*
UT (Utah),49,185027.00
VA (Virginia),51,915644.00
VI (Virgin Islands), ,16342.00
VT (Vermont),50,99669.00
WA (Washington),53,677225.00
WI (Wisconsin),55,509276.00
WV (West Virginia),54,213658.00
WY (Wyoming),56,84627.00
XX (Unknown), ,*
