State,County,State and County FIPS Code,Beneficiaries 
Na,NATIONAL TOTAL,,53414066
AK,STATE TOTAL,,79228
AK,Aleutians East,2013,111
AK,Aleutians West,2016,*
AK,Anchorage,2020,30406
AK,Bethel,2050,*
AK,Bristol Bay,2060,103
AK,Denali,2068,*
AK,Dillingham,2070,*
AK,Fairbanks North Star,2090,9184
AK,Haines,2100,*
AK,Hoonah-Angoon,2105,*
AK,Juneau,2110,4055
AK,Kenai Peninsula,2122,9605
AK,Ketchikan Gateway,2130,2086
AK,Kodiak Island,2150,1295
AK,Kusilvak,2158,457
AK,Lake and Peninsula,2164,145
AK,Matanuska-Susitna,2170,11296
AK,Nome,2180,*
AK,North Slope,2185,*
AK,Northwest Arctic,2188,435
AK,Petersburg,2195,*
AK,Prince of Wales-Hyder,2198,*
AK,Sitka,2220,1192
AK,Skagway,2230,*
AK,Southeast Fairbanks,2240,1011
AK,UNKNOWN,2999,*
AK,Valdez-Cordova,2261,1169
AK,Wrangell,2275,*
AK,Yakutat,2282,94
AK,Yukon-Koyukuk,2290,*
AL,STATE TOTAL,,951794
AL,Autauga,1001,9917
AL,Baldwin,1003,45326
AL,Barbour,1005,6015
AL,Bibb,1007,4669
AL,Blount,1009,11755
AL,Bullock,1011,1898
AL,Butler,1013,4598
AL,Calhoun,1015,25508
AL,Chambers,1017,8449
AL,Cherokee,1019,6748
AL,Chilton,1021,8707
AL,Choctaw,1023,3753
AL,Clarke,1025,6077
AL,Clay,1027,3498
AL,Cleburne,1029,3302
AL,Coffee,1031,9937
AL,Colbert,1033,13279
AL,Conecuh,1035,3416
AL,Coosa,1037,2464
AL,Covington,1039,9305
AL,Crenshaw,1041,3359
AL,Cullman,1043,18494
AL,Dale,1045,9769
AL,Dallas,1047,9393
AL,DeKalb,1049,14712
AL,Elmore,1051,15193
AL,Escambia,1053,8380
AL,Etowah,1055,24295
AL,Fayette,1057,4674
AL,Franklin,1059,6539
AL,Geneva,1061,6564
AL,Greene,1063,2138
AL,Hale,1065,3772
AL,Henry,1067,4393
AL,Houston,1069,21712
AL,Jackson,1071,12340
AL,Jefferson,1073,119547
AL,Lamar,1075,3791
AL,Lauderdale,1077,20733
AL,Lawrence,1079,7507
AL,Lee,1081,20335
AL,Limestone,1083,15754
AL,Lowndes,1085,2655
AL,Macon,1087,4043
AL,Madison,1089,56472
AL,Marengo,1091,5177
AL,Marion,1093,7001
AL,Marshall,1095,19268
AL,Mobile,1097,76451
AL,Monroe,1099,5037
AL,Montgomery,1101,38427
AL,Morgan,1103,24175
AL,Perry,1105,2314
AL,Pickens,1107,4741
AL,Pike,1109,5844
AL,Randolph,1111,5359
AL,Russell,1113,10521
AL,Shelby,1117,31669
AL,St. Clair,1115,16356
AL,Sumter,1119,2886
AL,Talladega,1121,18175
AL,Tallapoosa,1123,10689
AL,Tuscaloosa,1125,32598
AL,UNKNOWN,1999,*
AL,Walker,1127,17168
AL,Washington,1129,3866
AL,Wilcox,1131,3029
AL,Winston,1133,5858
AR,STATE TOTAL,,584039
AR,Arkansas,5001,4004
AR,Ashley,5003,5008
AR,Baxter,5005,14544
AR,Benton,5007,37219
AR,Boone,5009,9527
AR,Bradley,5011,2533
AR,Calhoun,5013,1168
AR,Carroll,5015,6621
AR,Chicot,5017,2604
AR,Clark,5019,4364
AR,Clay,5021,4041
AR,Cleburne,5023,7602
AR,Cleveland,5025,1882
AR,Columbia,5027,5020
AR,Conway,5029,4862
AR,Craighead,5031,17101
AR,Crawford,5033,12541
AR,Crittenden,5035,8314
AR,Cross,5037,3782
AR,Dallas,5039,1894
AR,Desha,5041,2759
AR,Drew,5043,3612
AR,Faulkner,5045,17233
AR,Franklin,5047,3984
AR,Fulton,5049,3459
AR,Garland,5051,26770
AR,Grant,5053,3640
AR,Greene,5055,9006
AR,Hempstead,5057,4382
AR,Hot Spring,5059,7346
AR,Howard,5061,2983
AR,Independence,5063,8102
AR,Izard,5065,3764
AR,Jackson,5067,3684
AR,Jefferson,5069,14221
AR,Johnson,5071,5221
AR,Lafayette,5073,1722
AR,Lawrence,5075,4265
AR,Lee,5077,1979
AR,Lincoln,5079,2284
AR,Little River,5081,2997
AR,Logan,5083,5335
AR,Lonoke,5085,11669
AR,Madison,5087,3518
AR,Marion,5089,5078
AR,Miller,5091,8122
AR,Mississippi,5093,8216
AR,Monroe,5095,2003
AR,Montgomery,5097,2482
AR,Nevada,5099,2065
AR,Newton,5101,2349
AR,Ouachita,5103,5915
AR,Perry,5105,2515
AR,Phillips,5107,4212
AR,Pike,5109,2629
AR,Poinsett,5111,5615
AR,Polk,5113,5166
AR,Pope,5115,11773
AR,Prairie,5117,2048
AR,Pulaski,5119,67536
AR,Randolph,5121,4494
AR,Saline,5125,22523
AR,Scott,5127,2494
AR,Searcy,5129,2408
AR,Sebastian,5131,23649
AR,Sevier,5133,2784
AR,Sharp,5135,5817
AR,St. Francis,5123,4794
AR,Stone,5137,3933
AR,UNKNOWN,5999,*
AR,Union,5139,9231
AR,Van Buren,5141,4889
AR,Washington,5143,28921
AR,White,5145,15586
AR,Woodruff,5147,1853
AR,Yell,5149,4373
AZ,STATE TOTAL,,1115275
AZ,Apache,4001,9779
AZ,Cochise,4003,27578
AZ,Coconino,4005,16315
AZ,Gila,4007,15024
AZ,Graham,4009,5121
AZ,Greenlee,4011,1155
AZ,La Paz,4012,4984
AZ,Maricopa,4013,592113
AZ,Mohave,4015,58179
AZ,Navajo,4017,19814
AZ,Pima,4019,191507
AZ,Pinal,4021,66648
AZ,Santa Cruz,4023,7917
AZ,UNKNOWN,4999,*
AZ,Yavapai,4025,69050
AZ,Yuma,4027,30091
CA,STATE TOTAL,,5338224
CA,Alameda,6001,201887
CA,Alpine,6003,226
CA,Amador,6005,10150
CA,Butte,6007,47068
CA,Calaveras,6009,11982
CA,Colusa,6011,3240
CA,Contra Costa,6013,166790
CA,Del Norte,6015,5705
CA,El Dorado,6017,37490
CA,Fresno,6019,119054
CA,Glenn,6021,5263
CA,Humboldt,6023,26126
CA,Imperial,6025,25489
CA,Inyo,6027,4190
CA,Kern,6029,102394
CA,Kings,6031,15092
CA,Lake,6033,16026
CA,Lassen,6035,4519
CA,Los Angeles,6037,1271081
CA,Madera,6039,21548
CA,Marin,6041,51148
CA,Mariposa,6043,4403
CA,Mendocino,6045,20537
CA,Merced,6047,32283
CA,Modoc,6049,2340
CA,Mono,6051,1462
CA,Monterey,6053,56091
CA,Napa,6055,25879
CA,Nevada,6057,26292
CA,Orange,6059,434011
CA,Placer,6061,71962
CA,Plumas,6063,5570
CA,Riverside,6065,318821
CA,Sacramento,6067,213865
CA,San Benito,6069,7342
CA,San Bernardino,6071,249431
CA,San Diego,6073,441237
CA,San Francisco,6075,125647
CA,San Joaquin,6077,94411
CA,San Luis Obispo,6079,55509
CA,San Mateo,6081,107348
CA,Santa Barbara,6083,67863
CA,Santa Clara,6085,226891
CA,Santa Cruz,6087,42007
CA,Shasta,6089,44480
CA,Sierra,6091,835
CA,Siskiyou,6093,12246
CA,Solano,6095,65534
CA,Sonoma,6097,93385
