State,County,State and County FIPS Code,Beneficiaries
Na,NATIONAL TOTAL,,54733815.00
AK,STATE TOTAL,,82927.00
AK,Aleutians East,02013,*
AK,Aleutians West,02016,*
AK,Anchorage,02020,31749.00
AK,Bethel,02050,*
AK,Bristol Bay,02060,*
AK,Denali,02068,*
AK,Dillingham,02070,*
AK,Fairbanks North Star,02090,9608.00
AK,Haines,02100,*
AK,Hoonah-Angoon,02105,*
AK,Juneau,02110,4224.00
AK,Kenai Peninsula,02122,10086.00
AK,Ketchikan Gateway,02130,2173.00
AK,Kodiak Island,02150,1359.00
AK,Kusilvak,02158,*
AK,Lake and Peninsula,02164,*
AK,Matanuska-Susitna,02170,12005.00
AK,Nome,02180,*
AK,North Slope,02185,*
AK,Northwest Arctic,02188,*
AK,Petersburg,02195,713.00
AK,Prince of Wales-Hyder,02198,*
AK,Sitka,02220,1223.00
AK,Skagway,02230,*
AK,Southeast Fairbanks,02240,1052.00
AK,UNKNOWN,02999,*
AK,Valdez-Cordova,02261,1222.00
AK,Wrangell,02275,*
AK,Yakutat,02282,103.00
AK,Yukon-Koyukuk,02290,*
AL,STATE TOTAL,,969116.00
AL,Autauga,01001,10165.00
AL,Baldwin,01003,47428.00
AL,Barbour,01005,6106.00
AL,Bibb,01007,4724.00
AL,Blount,01009,12007.00
AL,Bullock,01011,1914.00
AL,Butler,01013,4623.00
AL,Calhoun,01015,25858.00
AL,Chambers,01017,8518.00
AL,Cherokee,01019,6826.00
AL,Chilton,01021,8902.00
AL,Choctaw,01023,3779.00
AL,Clarke,01025,6155.00
AL,Clay,01027,3520.00
AL,Cleburne,01029,3352.00
AL,Coffee,01031,10139.00
AL,Colbert,01033,13444.00
AL,Conecuh,01035,3416.00
AL,Coosa,01037,2503.00
AL,Covington,01039,9427.00
AL,Crenshaw,01041,3423.00
AL,Cullman,01043,18751.00
AL,Dale,01045,9904.00
AL,Dallas,01047,9381.00
AL,DeKalb,01049,14878.00
AL,Elmore,01051,15615.00
AL,Escambia,01053,8422.00
AL,Etowah,01055,24601.00
AL,Fayette,01057,4692.00
AL,Franklin,01059,6543.00
AL,Geneva,01061,6605.00
AL,Greene,01063,2189.00
AL,Hale,01065,3866.00
AL,Henry,01067,4490.00
AL,Houston,01069,22136.00
AL,Jackson,01071,12464.00
AL,Jefferson,01073,121161.00
AL,Lamar,01075,3747.00
AL,Lauderdale,01077,21003.00
AL,Lawrence,01079,7601.00
AL,Lee,01081,21146.00
AL,Limestone,01083,16250.00
AL,Lowndes,01085,2657.00
AL,Macon,01087,4082.00
AL,Madison,01089,58288.00
AL,Marengo,01091,5197.00
AL,Marion,01093,6996.00
AL,Marshall,01095,19444.00
AL,Mobile,01097,77673.00
AL,Monroe,01099,5123.00
AL,Montgomery,01101,39229.00
AL,Morgan,01103,24652.00
AL,Perry,01105,2341.00
AL,Pickens,01107,4743.00
AL,Pike,01109,5957.00
AL,Randolph,01111,5480.00
AL,Russell,01113,10740.00
AL,Shelby,01117,32784.00
AL,St. Clair,01115,16768.00
AL,Sumter,01119,2909.00
AL,Talladega,01121,18285.00
AL,Tallapoosa,01123,10853.00
AL,Tuscaloosa,01125,33103.00
AL,UNKNOWN,01999,*
AL,Walker,01127,17259.00
AL,Washington,01129,3945.00
AL,Wilcox,01131,3071.00
AL,Winston,01133,5863.00
AR,STATE TOTAL,,593592.00
AR,Arkansas,05001,4038.00
AR,Ashley,05003,5045.00
AR,Baxter,05005,14688.00
AR,Benton,05007,38244.00
AR,Boone,05009,9635.00
AR,Bradley,05011,2533.00
AR,Calhoun,05013,1175.00
AR,Carroll,05015,6819.00
AR,Chicot,05017,2571.00
AR,Clark,05019,4359.00
AR,Clay,05021,4060.00
AR,Cleburne,05023,7643.00
AR,Cleveland,05025,1915.00
AR,Columbia,05027,5041.00
AR,Conway,05029,4890.00
AR,Craighead,05031,17549.00
AR,Crawford,05033,12767.00
AR,Crittenden,05035,8396.00
AR,Cross,05037,3785.00
AR,Dallas,05039,1883.00
AR,Desha,05041,2780.00
AR,Drew,05043,3655.00
AR,Faulkner,05045,17744.00
AR,Franklin,05047,4000.00
AR,Fulton,05049,3522.00
AR,Garland,05051,27235.00
AR,Grant,05053,3698.00
AR,Greene,05055,9131.00
AR,Hempstead,05057,4460.00
AR,Hot Spring,05059,7430.00
AR,Howard,05061,2987.00
AR,Independence,05063,8152.00
AR,Izard,05065,3801.00
