"","State","Beneficiaries","NumberServices","ServicePerFFS"
"1","AK","82927.00",194642,2.3471486970468
"2","AL","969116.00",2785515.5,2.87428491532489
"3","AR","593592.00",1849179,3.1152357174625
"4","AZ","1155335.00",3341049.5,2.89184478960648
"5","CA","5478663.00",14406425.5,2.62955131571334
"6","CO","789379.00",1821354,2.30732512519335
"7","CT","604883.00",2276817.5,3.76406263690664
"8","DC","76084.00",408470,5.36867146837706
"9","DE","184883.00",777223,4.20386406538189
"10","FL","4148415.00",14733962,3.55170878516253
"11","GA","1544616.00",4821690,3.12161080812318
"12","HI","231721.00",422287,1.82239417230204
"13","IA","577446.00",1503018,2.6028719568583
"14","ID","294633.00",552327,1.87462707843317
"15","IL","2007176.00",6910017.8,3.44265664794717
"16","IN","1160602.00",3644839,3.14047278912151
"17","KS","485625.00",1529122,3.14877117117117
"18","KY","857387.00",2723987.1,3.17708001171
"19","LA","797069.00",2557490.3,3.2086184508493
"20","MA","1174969.00",4536808,3.86121506184418
"21","MD","881248.00",3895843,4.42082478485058
"22","ME","306728.00",671258,2.18844709319006
"23","MI","1926676.00",5419768.9,2.81301521376713
"24","MN","923747.00",1327646.7,1.43724060808858
"25","MO","1129912.00",3113438,2.75546945248834
"26","MS","565678.00",1825334,3.22680747704524
"27","MT","206080.00",423918,2.05705551242236
"28","NC","1823347.00",5694534.8,3.12312181937942
"29","ND","118011.00",320992,2.72001762547559
"30","NE","312343.00",1043195,3.33990196674809
"31","NH","258658.00",818603,3.16480835698103
"32","NJ","1422817.00",6615900.7,4.6498605934565
"33","NM","370629.00",705928,1.90467556505292
"34","NV","452921.00",1422497.3,3.14071835927237
"35","NY","3208508.00",11081508.5,3.45378864568828
"36","OH","2143757.00",5871589.6,2.73892498076974
"37","OK","669922.00",2317365.5,3.45915718546338
"38","OR","767980.00",1130661,1.47225318367666
"39","PA","2491524.00",7046679.7,2.82826081546877
"40","PR","633773.00",223525,0.352689369853244
"41","RI","192336.00",479622,2.4936673321687
"42","SC","973995.00",2930909.1,3.00916236736328
"43","SD","158039.00",401471.5,2.54033181683002
"44","TN","1248577.00",4052842,3.24596881089432
"45","TX","3668126.00",11769399.1,3.20855911165538
"46","UT","343823.00",751851,2.18673852534589
"47","VA","1326512.00",4648452,3.50426682909766
"48","VI","18155.00",25649,1.41277884880198
"49","VT","131108.00",304152,2.31985843731885
"50","WA","1196540.00",2571241.1,2.14889690273622
"51","WI","1074484.00",2176240,2.02538148543859
"52","WV","414555.00",1053569.5,2.54144685264923
"53","WY","97212.00",216437.5,2.22644838085833
