State,AllMortN,AllMortCrd,AllMortAdj,MortN24ls,Mort24lsCrd,Mort24lsAdj,ATFRegWeapon,ATFFirearmLicense,GiffordsRank,GOwnerRates,CheckPGSReq,HGCPermReq,HGMagRestrict,HGOCAllow,HGPermReq,HGPurchPermReq,HGRegFirearm,LGCPermReq,LGMagRestrict,LGOCAllow,LGPermReq,LGPurchPermReq,LGRegFirearm,StPoP,PoP24ls,Poverty,Unemploy,PoorMH0,PoorMH14ls,PoorMH14gt,ST
Alabama,823,17.56,17.45,168,10.6,10.03,96087.5,2244.62,37,48.9,0,0,0,1,1,0,0,0,0,1,0,0,0,4805935,34.22,18.24,7.78,65.9,19.9,14.2,AL
Alaska,131,18.83,18.95,38,14.71,14.45,10455.38,1005,44,61.7,0,0,0,1,0,0,0,0,0,1,0,0,0,720618,38.25,10.35,7.16,68.35,22.67,8.98,AK
Arizona,932,15.31,15.19,190,8.93,8.8,98496.75,2802.5,46,32.3,0,0,0,1,0,0,0,0,0,1,0,0,0,6520630,36.25,17.59,7.99,68.8,20.68,10.52,AZ
Arkansas,459,16.08,16.03,86,8.83,8.57,79762,1900,41,57.9,0,0,0,1,0,0,0,0,0,1,0,0,0,2934774,34.88,18.77,7.01,68.51,19.34,12.16,AR
California,3175,8.69,8.57,847,6.51,6.28,272674.12,7776,1,20.1,1,0,1,0,1,1,1,0,1,0,1,1,1,37833253,36,15.69,9.45,64.36,24.6,11.04,CA
Colorado,578,11.72,11.59,104,6.19,5.97,61210.5,2678,15,34.4,1,0,1,0,1,0,0,0,1,0,0,0,0,5198679,34.33,12.39,6.28,68.28,22.84,8.88,CO
Connecticut,182,5.17,5.15,39,3.46,3.35,47298.38,1695,3,16.6,1,0,1,1,1,1,1,0,1,0,1,1,1,3584599,32.11,10.21,7.24,68.04,22.31,9.65,CT
Delaware,87,9.8,9.73,20,8.3,7.72,3626.38,313,11,5.2,1,0,0,1,1,0,0,0,0,1,0,0,0,917421,32.89,12.11,6.42,70.63,19.05,10.32,DE
Florida,2198,11.91,11.46,390,6.94,6.57,208208,6835.75,19,32.5,0,0,0,0,1,0,0,0,0,0,0,0,0,19430326,31.22,15.92,7.76,70.09,18.14,11.78,FL
Georgia,1242,13.27,13.29,266,8.11,7.93,140965.67,3434.78,34,31.6,0,0,0,1,1,0,0,0,0,1,0,0,0,9904325,35.89,17.6,8.07,70.59,18.61,10.8,GA
Hawaii,39,4,3.9,12,,,6310.5,267.62,7,45.1,1,0,1,1,1,1,1,0,0,1,0,1,1,1388288,32.67,10.84,5.23,71.62,19.84,8.54,HI
Idaho,195,12.87,13.08,35,6.23,6.21,34583,1356.62,48,56.9,0,0,0,1,0,0,0,0,0,1,0,0,0,1600828,37.56,14.9,6.24,67.17,22.68,10.15,ID
Illinois,1166,9.23,9.13,384,8.83,8.53,111910.62,4847,8,26.2,1,1,0,0,0,1,0,0,0,0,0,1,0,12844047,34.33,13.82,8.12,64.65,26.03,9.32,IL
Indiana,757,11.83,11.79,170,7.63,7.32,85977.38,2839.25,26,33.8,0,1,0,1,0,0,0,0,0,1,0,0,0,6536717,34.78,14.81,7.49,66.8,21.66,11.53,IN
Iowa,217,7.18,7.04,42,4.03,3.78,20163.62,1910.38,16,33.8,0,1,0,1,0,1,0,0,0,1,0,0,0,3075854,34,12.2,4.83,73.08,18.97,7.96,IA
Kansas,314,11.18,11.18,69,6.86,6.6,31358.12,1829.62,45,32.2,0,0,0,1,0,0,0,0,0,1,0,0,0,2873248,36.44,13.14,5.43,72.56,18.64,8.8,KS
Kentucky,597,14.01,13.78,96,6.71,6.44,54655.75,2354,43,42.4,0,1,0,1,0,0,0,0,0,1,0,0,0,4374976,33.56,18.59,7.72,65.8,19.92,14.28,KY
Louisiana,867,19.1,19.08,236,14.62,13.89,70257.25,1935.38,30,44.5,0,1,0,1,0,0,0,0,0,1,0,0,0,4586904,36.11,19.34,6.58,69.48,18.44,12.08,LA
Maine,120,9.12,8.55,16,5.78,5.35,11308.75,1281.88,36,22.6,0,0,0,1,0,0,0,0,0,1,0,0,0,1328550,29.12,13.51,6.8,67.01,22.34,10.65,ME
Maryland,632,11.12,11.18,186,9.88,9.7,82354.5,2868.5,4,20.7,0,1,1,1,0,1,1,0,1,1,0,0,0,5855213,33.5,9.8,6.25,69.84,20.71,9.46,MD
Massachusetts,221,3.38,3.28,60,2.86,2.59,28821,3221.62,5,22.6,1,1,1,1,0,1,0,0,1,0,0,1,0,6656679,31.67,11.21,6.38,66.94,21.8,11.25,MA
Michigan,1115,16.46,11.22,253,7.48,7.11,41992,4238.12,16,28.8,0,1,0,1,0,0,1,0,0,1,0,0,0,9905948,34,16.21,8.91,66.56,22.46,10.98,MI
Minnesota,365,6.93,6.82,76,4.25,4.13,52300.88,2644.25,13,36.7,0,1,0,1,0,1,0,1,0,1,0,0,0,5382178,34.11,10.88,5.5,70.98,21.07,7.95,MN
Mississippi,519,17.73,17.86,112,10.57,10.08,20178.88,1503.62,50,42.8,0,0,0,1,0,0,0,0,0,1,0,0,0,2976049,36.33,22.28,8.18,70.6,16.61,12.79,MS
Missouri,846,14.35,14.3,187,9.38,8.96,49555.25,4801,47,27.1,0,0,0,1,0,0,0,0,0,1,0,0,0,6019689,33.78,15.06,7.04,69.02,19.05,11.94,MO
Montana,160,16.45,16.08,28,8.74,8.18,11429.12,1515.88,38,52.3,0,0,0,1,0,0,0,0,0,1,0,0,0,1005569,32.78,14.91,5.64,69.63,20.44,9.93,MT
Nebraska,151,8.38,8.35,34,5.35,5.17,13822.25,1127.75,20,19.8,0,1,0,1,0,1,0,0,0,1,0,0,0,1853891,35.67,12.22,3.77,72.46,19.58,7.97,NE
Nevada,401,15.86,15.86,71,8.42,8.57,55521.25,1256.5,25,37.5,0,1,0,1,0,0,0,0,0,1,0,0,0,2772473,34.44,14.51,9.51,66.19,22.36,11.45,NV
New Hampshire,104,7.98,7.58,17,5.37,4.83,24056.62,1089,33,14.4,0,0,0,1,0,0,0,0,0,1,0,0,0,1322715,30.56,8.66,4.74,69.47,20.63,9.9,NH
New Jersey,443,5.07,5.14,116,4.14,4.13,48896.38,552.88,2,11.3,0,1,1,0,0,1,1,1,1,1,0,1,0,8865817,32.89,10.34,7.57,70.27,19.31,10.42,NJ
New Mexico,314,15.84,15.86,68,9.67,9.38,69542.5,1096.12,30,49.9,0,0,0,1,0,0,0,0,0,1,0,0,0,2083848,34.5,19.45,6.45,68.97,19.59,11.44,NM
New York,965,4.99,4.88,256,4.05,3.79,58903.75,3976.25,6,10.3,1,1,1,0,0,1,1,0,1,1,0,0,0,19579799,33,15.24,7.04,66.38,23.04,10.57,NY
North Carolina,1166,12.73,12.56,238,7.77,7.47,103639.62,4355.62,24,28.7,0,1,0,1,0,1,0,0,0,1,0,0,0,9748992,34.22,16.76,8.08,70.24,18.4,11.36,NC
North Dakota,69,9.76,9.56,16,8.43,7.37,7141.12,652.38,38,47.9,0,1,0,1,0,1,0,0,0,1,0,0,0,706138,35.67,11.42,3.23,72.2,21.1,6.7,ND
Ohio,1157,10.04,9.98,243,6.38,6.12,121187.25,4715.5,22,19.6,0,1,0,1,0,0,0,0,0,1,0,0,0,11562671,33.44,15.3,7.39,68.05,20.37,11.58,OH
